id,source_type,location,field,surface,active,member_reachable,risk_tags,linked_records,disposition,record_state,proposed_action,replacement_copy,notes,copy
daily_actions:4a14da86-26c9-4772-bf47-64930e7af149#day_name,database,public.daily_actions,day_name,/app/day/1,True,True,safe_no_change_required,day_number=1;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,Day 1: The Plate Method
daily_actions:4a14da86-26c9-4772-bf47-64930e7af149#action_title,database,public.daily_actions,action_title,/app/day/1,True,True,safe_no_change_required,day_number=1;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,The Plate Method
daily_actions:4a14da86-26c9-4772-bf47-64930e7af149#action_description,database,public.daily_actions,action_description,/app/day/1,True,True,safe_no_change_required,day_number=1;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,"Build every plate today around the 50/25/25 rule: half non-starchy vegetables, a quarter protein, a quarter slow carbs. One simple structure — used at every meal."
daily_actions:4a14da86-26c9-4772-bf47-64930e7af149#learning_objective,database,public.daily_actions,learning_objective,/app/day/1,True,True,safe_no_change_required,day_number=1;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,Understand and apply the 50/25/25 plate structure.
daily_actions:a040d92e-7ee5-4172-bcb8-6667ba489f60#day_name,database,public.daily_actions,day_name,/app/day/2,True,True,safe_no_change_required,day_number=2;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,Day 2: Water Target
daily_actions:a040d92e-7ee5-4172-bcb8-6667ba489f60#action_title,database,public.daily_actions,action_title,/app/day/2,True,True,safe_no_change_required,day_number=2;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,Water Target
daily_actions:a040d92e-7ee5-4172-bcb8-6667ba489f60#action_description,database,public.daily_actions,action_description,/app/day/2,True,True,safe_no_change_required,day_number=2;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,"Keep water available and take regular drinks during the day. If a healthcare professional has given you a fluid limit or different advice, follow that advice."
daily_actions:a040d92e-7ee5-4172-bcb8-6667ba489f60#learning_objective,database,public.daily_actions,learning_objective,/app/day/2,True,True,safe_no_change_required,day_number=2;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,Know your water target and hit it once.
daily_actions:af58ac91-0772-4b65-8423-acbc6d98c67c#day_name,database,public.daily_actions,day_name,/app/day/3,True,True,safe_no_change_required,day_number=3;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,Day 3: Protein First
daily_actions:af58ac91-0772-4b65-8423-acbc6d98c67c#action_title,database,public.daily_actions,action_title,/app/day/3,True,True,safe_no_change_required,day_number=3;phase=1;is_extension_day=False;is_active=True,KEEP — APPROVED EDUCATION,stays active,"No change. Retain as approved, non-prescriptive education.",,,Protein First
